model,color,fuel_type,transmission,price,manufacture_date,sale_date,state,mileage
Tesla Model 3,Grey,Electric,Automatic,90417.45,2023-12-30,2024-01-01,Illinois,362.9
Tesla Model X,White,Electric,Automatic,35929.76,2024-04-19,2024-06-11,Texas,348.1
Tesla Model X,White,Electric,Automatic,106061.66,2024-07-14,2024-07-24,Illinois,258.2
Tesla Model X,Red,Electric,Automatic,77210.5,2024-01-10,2024-01-21,Florida,260.9
Tesla Model Y,Blue,Electric,Automatic,130942.1,2023-12-03,2024-01-27,Florida,272.8
Tesla Model X,Red,Electric,Automatic,143273.45,2024-05-11,2024-06-08,Florida,270.9
Tesla Model 3,Silver,Electric,Automatic,93597.85,2024-09-06,2024-09-25,Washington,264.0
Tesla Cybertruck,Blue,Electric,Automatic,139083.55,2024-05-13,2024-05-27,Florida,318.9
Tesla Model X,White,Electric,Automatic,68436.06,2024-05-10,2024-07-30,Illinois,300.6
Tesla Roadster,Black,Electric,Automatic,110140.47,2024-03-06,2024-03-30,Massachusetts,344.7
Tesla Cybertruck,Midnight Silver,Electric,Automatic,117166.16,2024-05-09,2024-06-01,Washington,321.9
Tesla Cybertruck,Grey,Electric,Automatic,90914.58,2024-07-30,2024-08-06,California,340.1
Tesla Model Y,Blue,Electric,Automatic,61866.56,2024-10-14,2025-01-06,California,276.4
Tesla Model X,Black,Electric,Automatic,93802.04,2024-06-27,2024-07-02,New York,299.0
Tesla Model 3,White,Electric,Automatic,129945.23,2024-08-30,2024-09-11,Texas,312.8
Tesla Model X,Black,Electric,Automatic,71566.7,2024-05-02,2024-06-24,Florida,397.1
Tesla Cybertruck,Blue,Electric,Automatic,66610.69,2024-03-24,2024-04-13,Texas,254.0
Tesla Model 3,Midnight Silver,Electric,Automatic,61601.94,2024-08-26,2024-11-07,Illinois,319.6
Tesla Model 3,Red,Electric,Automatic,46977.33,2024-02-07,2024-04-12,Texas,324.9
Tesla Model S,Blue,Electric,Automatic,54439.45,2024-05-15,2024-07-17,New York,259.7
Tesla Roadster,Red,Electric,Automatic,107162.44,2024-04-29,2024-06-04,Washington,265.8
Tesla Model S,Red,Electric,Automatic,49612.46,2024-03-02,2024-04-19,California,288.3
Tesla Roadster,Red,Electric,Automatic,129668.56,2024-05-29,2024-06-19,Texas,360.4
